file_id,aritfact_id,slug,img_key,document_type,is_journal_article,reason,is_csis
32324313,31424495,physics-workshops-for-high-school-students,artifacts/file/img/82f3d253abdfe8dd94bae335b1ca8aa0.png,academic document,false,"Contains educational content, not formatted as a journal article",true
31894872,30995054,two-fragments-of-new-rationality,artifacts/file/img/30f3188c1bf74fb34cc5938affd8be40.png,academic paper,true,"Contains title, author, and academic formatting",true
32317186,31417368,literary-theory-in-medieval-castile,artifacts/file/img/3d13a1a91facb538f6e2029428db04fd.png,academic paper,false,Contains academic content but lacks journal formatting,true
45229558,44330645,variations-of-geodetic-coordinates-of-network-vertices-due-to-changes-in-reference-ellipsoid,artifacts/file/img/f052dbf493a957efa5ef32bc7e98b51d.png,academic paper,false,"Contains title, author, and publication details, lacks journal formatting",true
45302191,44403278,status-of-cetacean-populations,artifacts/file/img/1650d65fe00a03a960ca33dc67e34bf9.png,academic paper,false,"Contains title, author, and academic content but lacks journal formatting",true
32250164,31350346,evaluation-of-vulnerability-to-water-erosion-in-lora-del-rio-province-of-seville-spain,artifacts/file/img/2d9623e13c43c5235de33c04697c6be3.png,academic report,false,"Title, author, and institutional affiliation present",true
32194911,31295093,competitive-adsorption-between-a-cationic-pesticide-and-zinc-and-cadmium-on-an-arizona-montmorillonite,artifacts/file/img/3e7ab7b727de4f035ec688747848f9f6.png,academic thesis,false,"Contains title, author, and presentation details for a course",true
32325328,31425510,cnb-action-plan-2018-2021,artifacts/file/img/79cc2b63de676042e0b7795bbcfaa43a.png,action plan,false,"Titled 'CNB Action Plan 2018-2021', lacks academic formatting",true
1515160,538432,gender-and-covid-19,artifacts/artifact/img/5fef713f-30cb-4aaa-a868-86da6c9730c4.jpg,advocacy brief,false,Titled 'Advocacy brief' with organizational branding,false
1515161,538432,gender-and-covid-19,artifacts/artifact/img/5fef713f-30cb-4aaa-a868-86da6c9730c4.jpg,advocacy brief,false,Titled 'Advocacy brief' with organizational branding,false
1515166,538432,gender-and-covid-19,artifacts/artifact/img/5fef713f-30cb-4aaa-a868-86da6c9730c4.jpg,advocacy brief,false,Titled 'Advocacy brief' with organizational branding,false
1515167,538432,gender-and-covid-19,artifacts/artifact/img/5fef713f-30cb-4aaa-a868-86da6c9730c4.jpg,advocacy brief,false,Titled 'Advocacy brief' with organizational branding.,false
10602832,9713674,iata-convoca-5-contratos-posdoctorales-para-doctores-y-doctoras-de-excelencia,artifacts/file/img/40c05261ceabf360cce59a707f5f387b.png,announcement,false,Contains announcement details for postdoctoral contracts,true
1355605,390994,asian-development-bankjapan-scholarship-program,artifacts/artifact/img/f23b2315-79c4-4ce8-84c1-edffd47e731e.jpg,annual report,false,Titled 'Annual Report' with organizational branding,false
1517022,540250,annual-report-2017,artifacts/artifact/img/f9b421c7-7c40-409d-9c9f-21f811987d2f.jpg,annual report,false,"Titled 'Annual Report 2017', not academic formatting",false
1518007,541030,hrp-annual-report-2018,artifacts/artifact/img/44997e72-9240-4749-8c94-b0c3bd428f5e.jpg,annual report,false,"Titled 'Annual Report', lacks academic formatting",false
31816889,30917070,ibgm-scientific-report-2018,artifacts/file/img/52ce08b0bc0972fca6aa69a83c8ec495.png,annual report,false,"Titled 'Memoria Científica', indicates an institutional report",true
32015139,31115321,csic-annual-report-2013,artifacts/file/img/0ba140358a9ac3d4c9e5278d53419096.png,annual report,false,"Contains organizational name and year, typical of annual reports",true
32291835,31392017,iem-annual-report-2021,artifacts/file/img/307af9bee4b4aa25999e7ab3011f58f0.png,annual report,false,"Titled 'Annual Report 2021', includes institutional logos",true
45186281,44287368,instituto-de-la-grasa-csic-annual-report-2006,artifacts/file/img/993b229ea050bbbdbfb4088ab46cc2d1.png,annual report,false,"Titled 'Memoria 2006', typical of annual reports",true
45243365,44344452,centre-of-advanced-studies-of-blanes-ceab-annual-report-2020,artifacts/file/img/330543594ca065858aeaac07528c37d1.png,annual report,false,"Titled 'Annual Report 2020', typical of organizational reports",true
31978470,31078652,ship-time-request-for-the-famoso-project,artifacts/file/img/acd4658d7412c321c6b011c5f5ab4a38.png,application form,false,Title indicates it's an application for operational time,true
32327428,31427610,request-for-ship-time-on-bio-hesperides-for-mitre-project,artifacts/file/img/eb7bf5760b6cbe09a130838b137f6a3c.png,application form,false,Contains application instructions and official formatting,true
32218231,31318413,the-djehuty-project,artifacts/file/img/9ab993fbcd793b84ef875cda232d8d2a.png,article,false,Informative article about an archaeological project,true
32280245,31380427,common-good-and-open-access,artifacts/file/img/b5419be82c1534baaf95abe81caf7ab3.png,article,false,Contains title and text but lacks academic formatting,true
31877849,30978031,biography-of-pius-font-quer,artifacts/file/img/8791798c3f33ecb70c250eb002345352.png,biographical page,false,Contains a portrait and biographical dates,true
32184722,31284904,costs-and-financing-of-elderly-care-homes-in-the-valencian-community,artifacts/file/img/1e85a8fb379a8fbabcc54af975f62fa9.png,blog post,false,"Contains blog format elements like author, tags, and publication date",true
32285044,31385226,names-also-age,artifacts/file/img/be2fa67ad62eb4a665b5477a62671330.png,blog post,false,"Contains blog title, author, and informal structure",true
32346590,31446772,active-ageing,artifacts/file/img/bc81b689c21bd623e1fe4cb7339110db.png,blog post,false,Contains blog format and informal structure,true
1357110,392393,handbook-on-high-speed-rail-and-quality-of-life,artifacts/artifact/img/dd84e9d4-375c-49cf-81d7-8582cebcc515.jpg,book,false,"Cover indicates it's a handbook, not an article.",false
1357669,392951,wealthy-but-unhealthy,artifacts/artifact/img/f7f50906-8574-45ff-8b43-42ac3bd8ada9.jpg,book,false,"Cover shows book title and editors, not journal article format",false
20059806,19159260,flora-peruvianae-et-chilensis-tomus-iv-pars-iv,artifacts/file/img/cf8f3ad8cfe9c23b09a55afe507edb1a.png,book,false,Title page of a book with authors and volume number,true
20084144,19183599,repertorio-de-medievalismo-hispanico,artifacts/file/img/0cecd40be1b0ec9bce9580e298d6e025.png,book,false,Contains a title page typical of a book,true
20106863,19206319,theophrastus-on-stones,artifacts/file/img/327272816ef10937af7e7e66849b2529.png,book,false,Contains a title indicative of a book cover,true
32104670,31204852,commerce-and-culture-in-the-modern-age,artifacts/file/img/f664dc603679c74074d4e25a3e9cd151.png,book,false,Cover indicates it's a book with editors and publisher.,true
32143302,31243484,spanish-dictionary-of-international-literary-terms,artifacts/file/img/dbf1676f87ad6f5a7aff21689b6c0be5.png,book,false,"Title suggests a dictionary, not an academic article",true
32170941,31271123,spanish-dictionary-of-international-literary-terms,artifacts/file/img/59a8981218f25df20317300fe8b2512f.png,book,false,"Title suggests a dictionary, not an academic article",true
32255500,31355682,the-economic-foundations-of-the-church-in-modern-spain,artifacts/file/img/cdb00f36c4fedbbedfe174fa57d5a10b.png,book,false,"Cover with title, authors, and publisher information",true
32281346,31381528,an-approach-to-the-study-of-the-tithe-on-the-island-of-lanzarote-1618-1650,artifacts/file/img/8cfd7b2398de1fdcab01553ce418e527.png,book,false,"Cover with title, authors, and publisher information",true
32285301,31385483,enrique-cock,artifacts/file/img/f77c3385c45eb65bf58331ffb1caa9df.png,book,false,"Contains title, author, publisher, and ISBN",true
32285401,31385584,commerce-and-culture-in-the-modern-age,artifacts/file/img/0b1ab672773b5a5d2f8a491171acf65b.png,book,false,Cover indicates a book with editors and publisher,true
32320987,31421169,history-of-charlemagne-and-the-twelve-peers-of-france,artifacts/file/img/47f71e74fb9f9e1f33e47bb394eea0ae.png,book,false,"Contains title, illustration, and publisher information typical of a book",true
32326575,31426757,the-rejected-stone,artifacts/file/img/08156144a88ff41ecd7521875cf72ecf.png,book,false,Contains index page with chapters and sections,true
32346621,31446803,spanish-dictionary-of-international-literary-terms,artifacts/file/img/c88f8da58e52a6eab3b3e171103552cc.png,book,false,"Title suggests a dictionary, not an academic article",true
32350128,31450310,hispanic-trade-with-angola-during-the-period-of-unity-of-the-spanish-crown,artifacts/file/img/9eef4454755b0217d31154740992defa.png,book,false,Cover indicates it's a book with editors and publisher,true
45163893,44264980,ecology-of-inland-waters-in-madrid,artifacts/file/img/3a1d8bf5111668f96ada2afe07100d36.png,book,false,"Contains chapters, index, and page numbers typical of a book",true
45198182,44299269,military-presence-in-mining-areas-of-northwestern-iberian-peninsula,artifacts/file/img/a57971b1ddbf98321b235e94f5a6d94e.png,book,false,Cover indicates a book with title and author,true
45242199,44343286,making-modern-history,artifacts/file/img/b6e3bb27a357ecb9b6a1a57c2081292d.png,book,false,Cover indicates a book with editors and publisher,true
45331748,44432837,superficial-geochemical-processes-in-ibero-america,artifacts/file/img/d0cda0c61b84a92aac2be9badb6be15c.png,book,false,Cover indicates a book with editors and a coordinator,true
45387650,44488740,from-algarbia-to-axarquia,artifacts/file/img/baacb72a3468965974435fb12dc793e9.png,book,false,"Contains title, author, and publisher information typical of a book",true
10196746,9307718,metadata-of-the-chapter-that-will-be-visualized-online,artifacts/file/img/51bf5bc9c850d1952391635511734c0d.png,book chapter,false,Contains chapter title and book-related metadata,true
11210917,10305885,viceroy-valero-s-heart,artifacts/file/img/c7d8debcc733edb8576c4b99ae733313.png,book chapter,false,Contains chapter title and book formatting,true
32119628,31219810,west-african-migrations-to-mediterranean-countries-and-agricultural-labor,artifacts/file/img/3699bb2224f2b0e2d1ff82d839718277.png,book chapter,false,Contains chapter title and book-related formatting,true
32285152,31385334,dispersal-of-plants-by-waterbirds,artifacts/file/img/9c025d2a3672811b8766f3862b1dc7fb.png,book chapter,false,"Contains chapter title and authors, part of a book",true
32287322,31387504,smos-and-aquariussac-d-missions,artifacts/file/img/6e2525fe29aabb87b801bf1bcbb967a0.png,book chapter,false,"Contains chapter title and authors, typical of a book chapter",true
32348325,31448507,histogenesis-of-the-cerebral-cortex,artifacts/file/img/d10d083980121d3b5d7033cb21067b30.png,book chapter,false,Contains chapter title and structured sections typical of a book,true
45102094,44203180,submarine-landslides,artifacts/file/img/69f597c97361bb69ad9177eb11e475cd.png,book chapter,false,"Contains chapter number, title, and author, typical of a book chapter",true
45374776,44475866,al-ladron-senores,artifacts/file/img/0b5fef62a6b9c14fa6772da27fd83dfc.png,book chapter,false,"Contains chapter number, author, and transcription details",true
45391827,44492917,the-spanish-government-and-the-roman-republic,artifacts/file/img/850da95ac9059ecce792645aef2817f8.png,book chapter,false,"Contains book title, chapter title, and author information",true
45393322,44494412,healthy-and-resilient-antarctic-ocean,artifacts/file/img/0d4aae4cf17f5f42defd28914a4b6094.png,book chapter,false,"Contains section number and authors, typical of a book chapter",true
31981854,31082036,eclecticism-the-antechamber-of-modernism,artifacts/file/img/e1cc07f03f49ba69c619b0f983ac007d.png,book cover,false,Contains a title and design elements typical of a book cover,true
1518186,541193,working-at-older-ages,artifacts/artifact/img/df4f3888-35d2-4f5b-a1dc-3cbec4a62793.jpg,book cover,false,"Contains title, authors, and series information typical of a book cover",false
1518999,542018,decision,artifacts/artifact/img/cb652010-1f65-445f-a5a9-ebc6c94ad4c1.jpg,book cover,false,"Minimal text, likely a book cover",false
31869046,30969228,family-material-culture-and-forms-of-power-in-modern-spain,artifacts/file/img/8aa1562544dd132475eaf1add027062a.png,book cover,false,"Contains title, editor, and event information typical of a book cover",true
31950795,31050977,understanding-viruses-influenza-and-prevention,artifacts/file/img/017fcfa496f9475155d65f058e109865.png,book cover,false,"Contains title, author, and publisher, typical of a book cover",true
32038173,31138355,rural-demography-in-modern-spain,artifacts/file/img/e004149f95db5a275fb80f721f62cce6.png,book cover,false,"Contains title, coordinator, and publisher information",true
32199336,31299518,envisaging-heaven-in-the-middle-ages,artifacts/file/img/bdc7a470d1995c4dd6170948a802c1a4.png,book cover,false,"Contains title, editors, and publisher series information",true
32230788,31330970,untitled-story-about-an-angry-marquis,artifacts/file/img/0587c2be05447f308a5d51d233c8ba52.png,book cover,false,Contains title and publication details typical of a book cover,true
32249317,31349499,crusades,artifacts/file/img/ef27dbb0bc4e9105bcaaf313c2c937b8.png,book cover,false,"Contains title, editors, and book series information",true
32320397,31420579,philip-ii-and-his-time,artifacts/file/img/5febfee4c545cf5daf9a3fd9791e15cb.png,book cover,false,"Contains title, editors, and publisher information",true
32329706,31429888,theatrical-organization-and-administration,artifacts/file/img/8d30783b890d188de1f680cce1c5f088.png,book cover,false,"Contains title, author, and decorative elements typical of a book cover",true
32329971,31430153,the-catalan-republic-of-1641,artifacts/file/img/a70821ce2a0d4146085c3c36f2b52913.png,book cover,false,"Contains title, coordinator, and publisher information",true
32331983,31432165,queen-isabella-i-and-the-queens-of-spain,artifacts/file/img/b8c79693729c590a4ba1899d10e7db5a.png,book cover,false,"Contains title, authors, and publisher information typical of a book cover",true
32346480,31446662,new-research-perspectives-in-modern-history,artifacts/file/img/da00d4ac63ceea899b2d808fc2d87fc0.png,book cover,false,"Contains title, editors, and institutional logos",true
45202406,44303493,studies-dedicated-to-fr-martin-sarmiento,artifacts/file/img/3368b45a47018c8d1fa0d2923cc043f2.png,book cover,false,"Contains title, dedication, and institutional logos",true
45236274,44337361,the-city-of-malaga-and-the-army-of-philip-iv,artifacts/file/img/770a78a7fb73f7d1f09bdff493ddb596.png,book cover,false,"Contains title and editors, typical of a book cover",true
45243594,44344681,the-book-of-benefactors-of-the-monastery-of-san-benito-el-real-de-valladolid,artifacts/file/img/e017964e0e0b790be2e4c1a11fb3bd60.png,book cover,false,"Contains title, author, and publisher, typical of a book cover",true
45367343,44468433,the-end-of-tartessos,artifacts/file/img/156809f339c917c74dded677996ef33f.png,book cover,false,"Contains title, author, and publisher, typical of a book cover",true
45379970,44481060,lineages-kinship-and-power-groups,artifacts/file/img/71a94245e759959b1c85048c058b6888.png,book cover,false,"Contains book title, author, and publisher details",true
45390417,44491507,conflict-and-social-dynamics-in-18th-century-la-coruna,artifacts/file/img/e5b153ecf2a9b2d050ec5277e4f31881.png,book cover,false,"Contains title, editors, and publisher typical of a book cover",true
45404124,44505214,open-classrooms,artifacts/file/img/82e2b5a3b5b985a0928584dd568cfbfe.png,book cover,false,"Contains title, editors, and cover design typical of books",true
45422470,44523561,the-maritime-dimension-of-the-military-orders-during-the-first-third-of-the-17th-century,artifacts/file/img/c636c36380b77e520d84a0cae79256ea.png,book cover,false,"Contains title and editors, typical of a book cover",true
45462026,44563118,open-classrooms,artifacts/file/img/076cb1eeeb8de3841e6696670b4bc4d8.png,book cover,false,"Contains title, editors, and cover design typical of books",true
45369222,44470312,obtaining-and-characterizing-the-tetramerization-domain-of-p53,artifacts/file/img/60283b7c4f0392379103536c1320fc9d.png,book or report,false,"Contains chapter heading, lacks academic article structure",true
45383672,44484761,analysis-of-bibliographic-research-on-the-first-world-war,artifacts/file/img/173fb9d28b32addd318e014d1aa211fb.png,book or thesis chapter,false,"Contains chapter title and section headings, typical of books or theses",true
1356970,392233,the-case-for-regional-cooperation-in-trade-and-investment-finance-for-asia,artifacts/artifact/img/539468b7-af19-4a49-800d-38622c092f30.jpg,brief report,false,"Labeled as 'ADB Briefs', not a journal article",false
1357020,392304,leveraging-private-sector-participation-to-boost-environmental-protection-in-the-peoples-republic-of-china,artifacts/artifact/img/6e3bcfb5-f66b-4256-87bf-10d162ecf2da.jpg,brief report,false,"Contains key points, introduction, and organizational branding",false
1357089,392373,public-commercial-assets,artifacts/artifact/img/b9b1574b-8b28-48c7-8c2b-8dbf9567814c.jpg,brief report,false,"Contains title, author, and brief format typical of reports",false
1686517,813002,quality-in-urban-health-care-services-in-india,artifacts/artifact/img/3b95fd31-17d3-4788-b9c5-773da7889912.jpg,brief report,false,"Labeled as 'ADB Briefs', not a journal article format",false
1686518,813005,covid-19-exposes-asian-banks-vulnerability-to-us-dollar-funding,artifacts/artifact/img/47ac71ca-9f9b-4107-9708-8762f505ff0a.jpg,brief report,false,"Labeled as 'ADB Briefs', lacks typical journal article structure",false
1138544,283404,the-exception-for-text-and-data-mining-tdm-in-the-proposed-directive-on-copyright-in-the-digital-single-market,artifacts/artifact/img/a1a42981-c584-4be2-bc89-3bf14bb88f03,briefing document,false,"Contains briefing title and summary, lacks academic formatting",false
1594409,614231,geography-matters,artifacts/artifact/img/4869da3a-db42-446a-8b7c-329081dc475b.jpg,briefing note,false,Titled 'Briefing Note' with focus on policy and management.,false
1151748,286684,which-role-does-datacite-play-in-researchers-data-sharing-and-data-reuse-practices,artifacts/artifact/img/26d0c4fb-b2ce-47fe-abff-1ec7d9ac631c,case study,false,Labeled as 'Open Science Monitor Case Study'.,false
1164655,290277,the-impact-of-sex-and-gender-in-the-covid-19-pandemic,artifacts/artifact/img/a9ac4c7c-9c99-4d1c-b311-145e87ba28c2,case study,false,Labeled as a case study on the cover,false
1172066,291947,open-hardware-licences,artifacts/artifact/img/25db4c0b-7bd0-488a-a7c9-c1fe425c3b91,case study,false,"Titled as a case study, lacks journal article features",false
1594341,614176,beyond-fossil-fuels,artifacts/artifact/img/35285fa6-734a-403c-bbcd-580ac1eac1f5.jpg,case study,false,"Labeled as a case study, not a journal article",false
1138799,283482,mission-oriented-ri-policies,artifacts/artifact/img/b41941ed-5653-4e81-9806-8571c4c886bc,case study report,false,"Titled 'Case Study Report', lacks academic formatting",false
1152416,286920,open-metadata-of-scholarly-publications,artifacts/artifact/img/9a0f10c6-6fcb-4b36-8f06-cadae9a0cb7e,case study report,false,"Labeled as a case study, lacks journal article features",false
1160838,289418,mission-oriented-ri-policies,artifacts/artifact/img/c4f1d98d-e79f-4951-8bc6-6d65bf248b24,case study report,false,"Labeled as a case study report, not a journal article",false
31824338,30924519,auv-experiences,artifacts/file/img/8179ef711f2201bfbe7e18d31106da8f.png,company report,false,Contains company information and project details,true
32332713,31432894,meiotic-recombination-and-novel-lipases-in-fungi,artifacts/file/img/3fd953e1537c8066fb13b4b39ebadc56.png,conference book of abstracts,false,Labeled as a book of abstracts for a conference,true
32045279,31145461,sexual-segregation-of-the-great-bustard-otis-tarda-in-summer,artifacts/file/img/2147022823907f92b02e6a1234b5c6b7.png,conference booklet,false,Cover indicates a conference summary booklet.,true
32230100,31330282,artificial-intelligence,artifacts/file/img/6698894b7166319d87529595ab94c54f.png,conference flyer,false,"Announces event details and schedule, not an academic article",true
32118212,31218394,through-the-universe,artifacts/file/img/0654ce5bacd5cede06d456623a32ec15.png,conference paper,false,"Contains conference details and abstract, not typical journal formatting",true
32262549,31362731,free-tagging-vs-documentary-languages,artifacts/file/img/032453c8efdcf1290a7add65d624c0ea.png,conference paper,false,"Part of conference proceedings, includes event details and abstract",true
32306796,31406978,linking-entrepreneurial-orientation-and-export-intensity,artifacts/file/img/d8bdf5d7185b36bf2628bbd791c6f3a4.png,conference paper,false,"Presented at a conference, includes title, authors, and abstract",true
32321628,31421810,ectomycorrhizal-fungal-communities-associated-with-pinus-sylvestris-l,artifacts/file/img/1a07c46d940bb5b0a6c7ed214e09771e.png,conference paper,false,Contains conference title and paper identifier,true
32346882,31447064,effects-of-biochar-and-compost-on-a-urban-garden-soil-moderately-contaminated-by-heavy-metals,artifacts/file/img/9091e151720b86026f9ff55f16433b30.png,conference paper,false,"Presented at a conference, includes conference details and proceedings.",true
32349489,31449671,alternatives-to-animal-experimentation,artifacts/file/img/0d6ad3026da27604b51fa7e5bf24d201.png,conference paper,false,"Contains title, author, and conference workshop details",true
45164302,44265389,index-for-research-project-selection-based-on-the-analytic-network-process-anp,artifacts/file/img/902bc1f1f668756bae6861fc4d269f31.png,conference paper,false,"Presented at a congress, includes conference details",true
45205803,44306890,structural-characteristics-of-soil-humic-acids-in-coffee-cultivation-systems,artifacts/file/img/a8a38666f070a0034c1692d388baf41a.png,conference paper,false,"Presented at a conference, not a journal publication",true
45206078,44307165,the-impact-of-transformative-agreements-in-the-global-open-access-transition,artifacts/file/img/7737485014368e120c50c1035e782c9d.png,conference paper,false,"Presented at a conference, not a journal article",true
45269759,44370846,archaeology-at-the-beginning-of-the-21st-century,artifacts/file/img/b22ffcd77d011ba0931daf6c7e1f2d8f.png,conference paper,false,"Titled 'PONENCIA MARCO', indicating a conference presentation",true
45325898,44426986,pixe-analysis-of-desert-dust-aerosols-on-cellulose-filters,artifacts/file/img/e7fd4f8477c3addb6f551659f09846c1.png,conference paper,false,"Presented at a conference, includes conference logo and details",true
13609974,12712256,international-in-natural-bioactive-products,artifacts/file/img/24c4ba842ef2050786ebb31e5fb15964.png,conference poster,false,Announces a symposium with date and location details,true
32051735,31151917,archaeometallurgy-in-europe,artifacts/file/img/5ade177e09f9ba824045e045ca4022f2.png,conference poster,false,"Event details and poster format, not an academic article",true
32325626,31425808,interculturality-languages-and-translators-in-iberian-contacts-with-western-islam,artifacts/file/img/fa1247f7bb1728463c65b0392dcde7f9.png,conference poster,false,Event details and organizer logos are present,true
10632662,9743504,observational-consequences-of-an-interacting-multiverse,artifacts/file/img/f3e3d1b244d07a5d8181fa3c4f225d2a.png,conference presentation,false,"Contains title, authors, event name, and date",true
31951009,31051191,distributed-annotation-system-das-overview,artifacts/file/img/95a8c0821bbf7ec02ad0b91166eaff87.png,conference presentation,false,Mentions conference and lacks journal article structure,true
32023436,31123618,late-holocene-sedimentation-in-iberian-range-karstic-lakes,artifacts/file/img/559fb4bbd37bfbe2222b989e6e817a15.png,conference presentation,false,Contains conference details and presentation format,true
32053433,31153615,identification-of-robust-gene-expression-signatures-for-survival-analysis-and-risk-prediction-in-cancer-patients,artifacts/file/img/dcaa2aa279dc64be7b2d7e0cfa161d52.png,conference presentation,false,"Contains conference title, date, and presentation details",true
32118952,31219134,towards-an-end-cap-phoswich-configuration-using-geant4,artifacts/file/img/d10ad4e7fa037db46f2ada6ab91d35ce.png,conference presentation,false,"Contains title, author, and conference meeting details",true
